tipo_aviso,tipo_orden,area,planta,fecha,costo_total,trabajo_real
breakdown,CO2,AR-17,PL-1,2017-02-06,2009861.7,33.0
breakdown,CO2,AR-17,PL-1,2017-02-13,346636.36,2.0
breakdown,CO2,AR-17,PL-1,2017-02-20,146878.8,15.0
breakdown,CO2,AR-17,PL-1,2017-03-13,407880.0,16.9
breakdown,CO2,AR-17,PL-1,2017-04-03,27664.88,17.0
breakdown,CO2,AR-17,PL-1,2017-04-24,325021.04,4.0
breakdown,CO2,AR-17,PL-1,2017-05-08,1979964.83,26.5
breakdown,CO2,AR-17,PL-1,2017-06-19,1033733.73,24.2
breakdown,CO2,AR-17,PL-1,2017-07-24,288727.24,19.5
breakdown,CO2,AR-17,PL-1,2017-07-31,31250.0,13.0
breakdown,CO2,AR-17,PL-1,2017-08-14,1700805.29,17.7
breakdown,CO2,AR-17,PL-1,2017-08-28,372021.72,24.4
breakdown,CO2,AR-17,PL-1,2017-09-11,745726.67,5.0
breakdown,CO2,AR-17,PL-1,2017-09-25,451373.96,18.2
breakdown,CO2,AR-17,PL-1,2017-10-16,1335000.0,1.5999999999999999
breakdown,CO2,AR-17,PL-1,2017-11-06,337900.0,18.099999999999998
breakdown,CO2,AR-17,PL-1,2017-12-25,118213.0,1.0
breakdown,CO2,AR-17,PL-1,2018-01-29,499950.62,2.8
breakdown,CO2,AR-17,PL-1,2018-02-12,4868688.27,59.40000000000002
breakdown,CO2,AR-17,PL-1,2018-03-12,1331552.79,55.80000000000002
breakdown,CO2,AR-17,PL-1,2018-04-30,126780.0,1.0
breakdown,CO2,AR-17,PL-1,2018-05-07,1708319.6,62.3
breakdown,CO2,AR-17,PL-1,2018-05-14,42440.0,49.6
breakdown,CO2,AR-17,PL-1,2018-06-04,840511.44,55.60000000000001
breakdown,CO2,AR-17,PL-1,2018-06-25,1147653.78,37.70000000000002
breakdown,CO2,AR-17,PL-1,2018-07-02,583010.08,9.5
breakdown,CO2,AR-17,PL-1,2018-07-09,559600.0,2.5
breakdown,CO2,AR-17,PL-1,2018-08-06,355429.46,26.099999999999998
breakdown,CO2,AR-17,PL-1,2018-08-13,1655244.53,64.00000000000003
breakdown,CO2,AR-17,PL-1,2018-09-03,1051695.14,49.2
breakdown,CO2,AR-17,PL-1,2018-09-17,486813.03,3.5
breakdown,CO2,AR-17,PL-1,2018-09-24,232000.0,20.3
breakdown,CO2,AR-17,PL-1,2018-10-01,49304459.05,55.89999999999999
breakdown,CO2,AR-17,PL-1,2018-10-15,3396750.99,9.6
breakdown,CO2,AR-17,PL-1,2018-11-05,328119.0,67.10000000000001
breakdown,CO2,AR-17,PL-1,2018-11-12,11763397.75,39.20000000000001
breakdown,CO2,AR-17,PL-1,2018-11-19,5095394.92,62.90000000000002
breakdown,CO2,AR-17,PL-1,2018-11-26,174366.69,18.7
